file,loc,blank,comment,cc
tests/trainer/test_trainer.py,4974,928,548,551
src/transformers/trainer.py,4006,752,965,1228
src/transformers/modeling_utils.py,3954,798,1416,1223
tests/generation/test_utils.py,3743,672,650,504
tests/test_tokenization_common.py,3526,727,479,505
tests/test_modeling_common.py,3433,735,445,808
src/transformers/models/qwen3_omni_moe/modeling_qwen3_omni_moe.py,2972,548,546,602
src/transformers/models/qwen2_5_omni/modeling_qwen2_5_omni.py,2855,586,579,602
src/transformers/models/seamless_m4t_v2/modeling_seamless_m4t_v2.py,2784,696,918,709
src/transformers/models/qwen2_5_omni/modular_qwen2_5_omni.py,2745,609,968,538
tests/models/whisper/test_modeling_whisper.py,2736,636,207,285
src/transformers/models/seamless_m4t/modeling_seamless_m4t.py,2644,656,770,667
src/transformers/generation/utils.py,2486,400,977,618
src/transformers/tokenization_utils_base.py,2302,550,1374,605
tests/utils/test_modeling_utils.py,2220,607,365,334
src/transformers/testing_utils.py,2120,912,1122,567
src/transformers/models/auto/modeling_auto.py,2101,230,51,55
src/transformers/models/qwen3_omni_moe/modular_qwen3_omni_moe.py,2073,327,387,401
src/transformers/models/oneformer/modeling_oneformer.py,2055,465,686,434
src/transformers/modeling_tf_utils.py,2052,512,965,610
src/transformers/models/bigbird_pegasus/modeling_bigbird_pegasus.py,2041,414,578,458
src/transformers/models/big_bird/modeling_big_bird.py,2038,420,499,445
src/transformers/models/speecht5/modeling_speecht5.py,2014,520,708,527
src/transformers/models/perceiver/modeling_perceiver.py,1989,518,841,514
src/transformers/models/edgetam_video/modeling_edgetam_video.py,1987,436,639,406
tests/models/layoutlmv2/test_tokenization_layoutlmv2.py,1865,428,186,273
src/transformers/models/deprecated/jukebox/modeling_jukebox.py,1837,360,473,457
src/transformers/models/big_bird/modeling_flax_big_bird.py,1831,390,427,337
src/transformers/training_args.py,1828,308,1028,364
src/transformers/generation/tf_utils.py,1816,338,978,340
tests/models/layoutlmv3/test_tokenization_layoutlmv3.py,1801,409,193,264
src/transformers/models/reformer/modeling_reformer.py,1795,468,518,436
src/transformers/integrations/integration_utils.py,1792,405,324,629
src/transformers/models/longformer/modeling_tf_longformer.py,1792,414,577,335
