file,loc,blank,comment,cc,cc_rank,loc_rank,defects
tests/trainer/test_trainer.py,4974,928,548,551,13.0,1.0,92.0
src/transformers/trainer.py,4006,752,965,1228,1.0,2.0,271.0
src/transformers/modeling_utils.py,3954,798,1416,1223,2.0,3.0,348.0
tests/generation/test_utils.py,3743,672,650,504,19.0,4.0,151.0
tests/test_tokenization_common.py,3526,727,479,505,18.0,5.0,38.0
tests/test_modeling_common.py,3433,735,445,808,3.0,6.0,246.0
src/transformers/models/qwen3_omni_moe/modeling_qwen3_omni_moe.py,2972,548,546,602,10.5,7.0,1.0
src/transformers/models/qwen2_5_omni/modeling_qwen2_5_omni.py,2855,586,579,602,10.5,8.0,57.0
src/transformers/models/seamless_m4t_v2/modeling_seamless_m4t_v2.py,2784,696,918,709,4.0,9.0,30.0
src/transformers/models/qwen2_5_omni/modular_qwen2_5_omni.py,2745,609,968,538,14.0,10.0,55.0
tests/models/whisper/test_modeling_whisper.py,2736,636,207,285,141.0,11.0,104.0
src/transformers/models/seamless_m4t/modeling_seamless_m4t.py,2644,656,770,667,5.0,12.0,42.0
src/transformers/generation/utils.py,2486,400,977,618,7.0,13.0,203.0
src/transformers/tokenization_utils_base.py,2302,550,1374,605,9.0,14.0,96.0
tests/utils/test_modeling_utils.py,2220,607,365,334,74.5,15.0,47.0
src/transformers/testing_utils.py,2120,912,1122,567,12.0,16.0,136.0
src/transformers/models/auto/modeling_auto.py,2101,230,51,55,1096.0,17.0,247.0
src/transformers/models/qwen3_omni_moe/modular_qwen3_omni_moe.py,2073,327,387,401,36.0,18.0,1.0
src/transformers/models/oneformer/modeling_oneformer.py,2055,465,686,434,29.5,19.0,31.0
src/transformers/modeling_tf_utils.py,2052,512,965,610,8.0,20.0,41.0
src/transformers/models/bigbird_pegasus/modeling_bigbird_pegasus.py,2041,414,578,458,23.0,21.0,52.0
src/transformers/models/big_bird/modeling_big_bird.py,2038,420,499,445,26.0,22.0,33.0
src/transformers/models/speecht5/modeling_speecht5.py,2014,520,708,527,15.0,23.0,56.0
src/transformers/models/perceiver/modeling_perceiver.py,1989,518,841,514,17.0,24.0,15.0
src/transformers/models/edgetam_video/modeling_edgetam_video.py,1987,436,639,406,35.0,25.0,1.0
